split,fold,family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,actual_safe_complex64,predicted_safe_probability,selected_precision,relative_scalar_difference,selected_seconds
width_held_out,1,qft,full,1.0,12.0,137,True,0.6472032158393507,complex128,2.3841857810236202e-07,0.0008139839768409729
width_held_out,2,qft,full,1.0,16.0,137,True,0.33726243599404687,complex128,4.7683715698188026e-07,0.0018170239925384521
width_held_out,3,qft,full,1.0,20.0,137,False,0.6574257376479344,complex128,5.364418012021597e-07,0.003225759983062744
circuit_group_5fold,3,ghz,chain,1.0,8.0,42,True,0.8917948882781346,complex64,1.7114270947149224e-08,6.71679973602295e-05
circuit_group_5fold,1,ghz,chain,1.0,12.0,42,True,0.992968752075923,complex64,1.7114270947149224e-08,9.209600090980529e-05
circuit_group_5fold,0,ghz,chain,1.0,16.0,42,True,0.9499049661905336,complex64,1.7114270947149224e-08,0.00010271999984979629
circuit_group_5fold,4,ghz,chain,1.0,20.0,42,True,0.7786943849072958,complex128,1.7114270947149224e-08,0.00039686399698257447
circuit_group_5fold,1,hea,layers_4,1.0,8.0,42,False,0.9259291157102715,complex64,8.823523001129403e-07,0.00018665599822998048
circuit_group_5fold,3,hea,layers_4,1.0,12.0,42,True,0.5794314426126236,complex128,2.575715153812633e-07,0.0009232320189476014
circuit_group_5fold,4,hea,layers_4,1.0,16.0,42,True,0.6443901231022151,complex128,4.6492174407904526e-07,0.0012336640357971192
circuit_group_5fold,0,hea,layers_4,1.0,20.0,42,False,0.6679177448706565,complex128,5.950704182886217e-07,0.0015393279790878295
circuit_group_5fold,2,qaoa_cycle,p_3,1.0,8.0,42,False,0.4070692803703722,complex128,7.173722014020719e-07,0.00047702398896217347
circuit_group_5fold,4,qaoa_cycle,p_3,1.0,12.0,42,False,0.12836473455861197,complex128,8.408117964061954e-07,0.0007097600102424622
circuit_group_5fold,0,qaoa_cycle,p_3,1.0,16.0,42,False,0.10072380936759445,complex128,1.9356137762569014e-06,0.0009418879747390747
circuit_group_5fold,1,qaoa_cycle,p_3,1.0,20.0,42,False,0.08515636339217936,complex128,1.803382984211388e-06,0.0011763520240783692
circuit_group_5fold,0,random_brickwork,layers_8,1.0,8.0,42,False,0.7231455582933158,complex128,5.227405517167985e-07,0.0011181440353393555
